source,target,weight
57.1 W,55.5 W,1
57.1 W,69.7 W,1
57.1 W,57 W,1
57.1 W,32 W,1
57.1 W,66.2 W,1
57.1 W,76 W,1
57.1 W,110.7 W,1
57.1 W,66.8 W,1
57.1 W,48 W,1
57.1 W,61.5 W,1
57.1 W,100 W,1
57.1 W,24.5 W,1
57.1 W,32.1 W,1
57.1 W,34.8 W,1
57.1 W,29.1 W,1
57.1 W,66 W,1
57.1 W,20.1 W,1
57.1 W,25.8 W,1
57.1 W,87 W,1
57.1 W,27.8 W,1
57.1 W,24.4 W,1
57.1 W,68.1 W,1
57.1 W,29.9 W,1
57.1 W,107 W,1
57.1 W,82 W,1
57.1 W,92.1 W,1
57.1 W,58.3 W,1
57.1 W,31.2 W,1
57.1 W,8.3 W,1
57.1 W,30 W,1
40 W,270 W,1
40 W,150 W,4
40 W,19.5 W,1
40 W,3.3 W,1
40 W,8.5 W,2
40 W,1.4 W,1
40 W,91 W,1
40 W,0.65 W,1
40 W,33.4 W,1
40 W,19 W,2
40 W,70 W,3
40 W,4 W,1
40 W,90 W,3
40 W,54.3 W,1
40 W,13.1 W,1
40 W,69 W,2
40 W,26.9 W,1
40 W,97 W,1
40 W,14.1 W,1
40 W,80 W,5
40 W,66.1 W,1
40 W,105 W,4
40 W,102.9 W,1
40 W,122 W,1
40 W,20.5 W,1
40 W,60 W,4
40 W,300 W,1
40 W,135 W,2
40 W,54 W,1
40 W,18 W,2
40 W,58 W,1
40 W,43 W,1
40 W,81.8 W,1
40 W,2.2 W,2
40 W,155 W,2
40 W,81.9 W,1
40 W,120 W,3
40 W,28.9 W,1
40 W,77 W,2
40 W,55.5 W,1
40 W,69.7 W,1
40 W,57 W,2
40 W,160 W,1
40 W,66.2 W,1
40 W,110.7 W,1
40 W,66.8 W,1
40 W,45 W,3
40 W,145 W,1
40 W,100 W,1
40 W,9 W,2
40 W,34.8 W,1
40 W,32.1 W,1
40 W,66 W,1
40 W,20.1 W,1
40 W,87 W,3
40 W,24.4 W,1
40 W,165 W,1
40 W,3 W,2
40 W,29.9 W,1
40 W,14 W,1
40 W,9.5 W,1
40 W,136 W,1
40 W,31.2 W,1
40 W,8.3 W,1
40 W,30 W,4
40 W,3.5 W,1
40 W,31 W,1
40 W,47 W,1
40 W,20 W,3
40 W,86 W,1
40 W,38 W,2
40 W,21.8 W,1
40 W,72 W,1
40 W,245 W,1
40 W,185 W,1
40 W,75 W,2
40 W,85 W,3
40 W,74 W,1
40 W,6.1 W,1
40 W,2.5 W,1
40 W,3.6 W,1
40 W,11.7 W,1
40 W,52.8 W,1
40 W,140 W,1
40 W,73 W,1
40 W,23 W,1
40 W,22 W,1
40 W,1.3 W,1
40 W,34 W,1
40 W,28 W,2
40 W,23.8 W,1
40 W,92 W,1
40 W,52 W,1
40 W,50 W,4
40 W,63.5 W,1
40 W,2.4 W,1
40 W,89 W,1
40 W,170 W,1
40 W,8 W,2
40 W,32 W,1
40 W,53 W,1
40 W,76 W,1
40 W,48 W,2
40 W,225 W,1
40 W,61.5 W,1
40 W,13 W,2
40 W,24.5 W,1
40 W,29.1 W,1
40 W,25.8 W,1
40 W,27.8 W,1
40 W,68.1 W,1
40 W,8.1 W,1
40 W,107 W,1
40 W,82 W,3
40 W,44 W,2
40 W,2 W,1
40 W,92.1 W,1
40 W,25 W,3
40 W,58.3 W,1
26.1 W,34.5 W,1
26.1 W,25.9 W,1
26.1 W,18.8 W,1
26.1 W,56 W,1
26.1 W,22.8 W,1
26.1 W,30.8 W,1
26.1 W,25.4 W,1
26.1 W,19.5 W,1
26.1 W,27.5 W,1
26.1 W,18.3 W,1
26.1 W,57.8 W,1
26.1 W,20 W,1
26.1 W,72 W,1
26.1 W,19.2 W,1
26.1 W,30.7 W,1
26.1 W,24.6 W,1
26.1 W,15.8 W,1
26.1 W,17.5 W,1
26.1 W,13.2 W,1
26.1 W,23.6 W,1
26.1 W,16.8 W,1
26.1 W,17.6 W,1
26.1 W,71.8 W,1
26.1 W,64 W,1
26.1 W,65.8 W,1
26.1 W,29 W,1
26.1 W,13 W,1
26.1 W,14.5 W,1
26.1 W,69.2 W,1
26.1 W,51.6 W,1
26.1 W,24 W,1
26.1 W,66.7 W,1
26.1 W,23 W,1
26.1 W,26.7 W,1
26.1 W,68 W,1
26.1 W,22 W,1
26.1 W,16.5 W,1
26.1 W,9.7 W,1
26.1 W,25.7 W,1
26.1 W,77.5 W,1
26.1 W,34 W,1
26.1 W,21.5 W,1
26.1 W,14 W,1
26.1 W,27.4 W,1
26.1 W,28 W,1
26.1 W,23.3 W,1
26.1 W,21.3 W,1
26.1 W,59.2 W,1
26.1 W,20.6 W,1
26.1 W,33 W,1
26.1 W,54.7 W,1
26.1 W,15.5 W,1
26.1 W,29.6 W,1
19.5 W,56 W,1
19.5 W,25.4 W,1
19.5 W,27.5 W,1
19.5 W,18.3 W,1
19.5 W,57.8 W,1
19.5 W,91 W,1
19.5 W,33.4 W,1
19.5 W,19 W,1
19.5 W,70 W,1
19.5 W,17.6 W,1
19.5 W,65.8 W,1
19.5 W,90 W,1
19.5 W,54.3 W,1
19.5 W,29 W,1
19.5 W,69.2 W,1
19.5 W,69 W,1
19.5 W,26.9 W,1
19.5 W,66.7 W,1
19.5 W,97 W,1
19.5 W,80 W,1
19.5 W,26.7 W,1
19.5 W,66.1 W,1
19.5 W,16.5 W,1
19.5 W,102.9 W,1
19.5 W,122 W,1
19.5 W,20.5 W,1
19.5 W,60 W,1
19.5 W,23.3 W,1
19.5 W,21.3 W,1
19.5 W,19.2 W,1
19.5 W,29.6 W,1
19.5 W,18.8 W,1
19.5 W,22.8 W,1
19.5 W,58 W,1
19.5 W,81.8 W,1
19.5 W,81.9 W,1
19.5 W,28.9 W,1
19.5 W,77 W,1
19.5 W,55.5 W,1
19.5 W,69.7 W,1
19.5 W,57 W,1
19.5 W,66.2 W,1
19.5 W,110.7 W,1
19.5 W,66.8 W,1
19.5 W,71.8 W,1
19.5 W,100 W,1
19.5 W,32.1 W,1
19.5 W,34.8 W,1
19.5 W,14.5 W,1
19.5 W,66 W,1
19.5 W,20.1 W,1
19.5 W,87 W,1
19.5 W,24.4 W,1
19.5 W,29.9 W,1
19.5 W,14 W,1
19.5 W,27.4 W,1
19.5 W,59.2 W,1
19.5 W,31.2 W,1
19.5 W,33 W,1
19.5 W,8.3 W,1
19.5 W,54.7 W,1
19.5 W,30 W,1
19.5 W,30.8 W,1
19.5 W,20 W,1
19.5 W,38 W,1
19.5 W,21.8 W,1
19.5 W,72 W,2
19.5 W,85 W,1
19.5 W,74 W,1
19.5 W,16.8 W,1
19.5 W,23.6 W,1
19.5 W,64 W,1
19.5 W,51.6 W,1
19.5 W,24 W,1
19.5 W,52.8 W,1
19.5 W,23 W,1
19.5 W,22 W,2
19.5 W,34 W,1
19.5 W,21.5 W,1
19.5 W,28 W,1
19.5 W,23.8 W,1
19.5 W,20.6 W,1
19.5 W,92 W,1
19.5 W,63.5 W,1
19.5 W,34.5 W,1
19.5 W,25.9 W,1
19.5 W,89 W,1
19.5 W,30.7 W,1
19.5 W,24.6 W,1
19.5 W,32 W,1
19.5 W,15.8 W,1
19.5 W,17.5 W,1
19.5 W,13.2 W,1
19.5 W,76 W,1
19.5 W,48 W,1
19.5 W,61.5 W,1
19.5 W,13 W,1
19.5 W,24.5 W,1
19.5 W,29.1 W,1
19.5 W,25.8 W,1
19.5 W,27.8 W,1
19.5 W,68.1 W,1
19.5 W,107 W,1
19.5 W,82 W,1
19.5 W,68 W,1
19.5 W,9.7 W,1
19.5 W,25.7 W,1
19.5 W,77.5 W,1
19.5 W,92.1 W,1
19.5 W,58.3 W,1
19.5 W,15.5 W,1
89 W,104 W,1
89 W,38 W,1
89 W,21.8 W,1
89 W,72 W,1
89 W,91 W,1
89 W,33.4 W,1
89 W,19 W,1
89 W,75 W,1
89 W,70 W,1
89 W,85 W,1
89 W,74 W,1
89 W,90 W,1
89 W,54.3 W,1
89 W,69 W,1
89 W,26.9 W,1
89 W,97 W,1
89 W,52.8 W,1
89 W,73 W,1
89 W,80 W,1
89 W,66.1 W,1
89 W,22 W,1
89 W,102.9 W,1
89 W,122 W,1
89 W,20.5 W,1
89 W,60 W,1
89 W,23.8 W,1
89 W,92 W,1
89 W,63.5 W,1
89 W,135 W,1
89 W,110 W,1
89 W,58 W,1
89 W,81.8 W,1
89 W,81.9 W,1
89 W,28.9 W,1
89 W,77 W,1
89 W,55.5 W,1
89 W,69.7 W,1
89 W,57 W,1
89 W,32 W,1
89 W,66.2 W,1
89 W,76 W,1
89 W,110.7 W,1
89 W,66.8 W,1
89 W,48 W,1
89 W,129 W,1
89 W,100 W,1
89 W,61.5 W,1
89 W,24.5 W,1
89 W,32.1 W,1
89 W,34.8 W,1
89 W,29.1 W,1
89 W,66 W,1
89 W,20.1 W,1
89 W,25.8 W,1
89 W,87 W,1
89 W,27.8 W,1
89 W,24.4 W,1
89 W,165 W,1
89 W,68.1 W,1
89 W,29.9 W,1
89 W,107 W,1
89 W,82 W,1
89 W,92.1 W,1
89 W,58.3 W,1
89 W,31.2 W,1
89 W,8.3 W,1
89 W,30 W,1
54.3 W,38 W,1
54.3 W,21.8 W,1
54.3 W,72 W,1
54.3 W,91 W,1
54.3 W,33.4 W,1
54.3 W,19 W,1
54.3 W,70 W,1
54.3 W,85 W,1
54.3 W,74 W,1
54.3 W,90 W,1
54.3 W,69 W,1
54.3 W,26.9 W,1
54.3 W,97 W,1
54.3 W,52.8 W,1
54.3 W,80 W,1
54.3 W,66.1 W,1
54.3 W,22 W,1
54.3 W,102.9 W,1
54.3 W,122 W,1
54.3 W,20.5 W,1
54.3 W,60 W,1
54.3 W,23.8 W,1
54.3 W,92 W,1
54.3 W,63.5 W,1
54.3 W,58 W,1
54.3 W,81.8 W,1
54.3 W,81.9 W,1
54.3 W,28.9 W,1
54.3 W,77 W,1
54.3 W,55.5 W,1
54.3 W,69.7 W,1
54.3 W,57 W,1
54.3 W,32 W,1
54.3 W,66.2 W,1
54.3 W,76 W,1
54.3 W,110.7 W,1
54.3 W,66.8 W,1
54.3 W,48 W,1
54.3 W,61.5 W,1
54.3 W,100 W,1
54.3 W,24.5 W,1
54.3 W,32.1 W,1
54.3 W,34.8 W,1
54.3 W,29.1 W,1
54.3 W,66 W,1
54.3 W,20.1 W,1
54.3 W,25.8 W,1
54.3 W,87 W,1
54.3 W,27.8 W,1
54.3 W,24.4 W,1
54.3 W,68.1 W,1
54.3 W,29.9 W,1
54.3 W,107 W,1
54.3 W,82 W,1
54.3 W,92.1 W,1
54.3 W,58.3 W,1
54.3 W,31.2 W,1
54.3 W,8.3 W,1
54.3 W,30 W,1
9.7 W,34.5 W,1
9.7 W,25.9 W,1
9.7 W,18.8 W,1
9.7 W,56 W,1
9.7 W,22.8 W,1
9.7 W,30.8 W,1
9.7 W,25.4 W,1
9.7 W,27.5 W,1
9.7 W,18.3 W,1
9.7 W,57.8 W,1
9.7 W,20 W,1
9.7 W,72 W,1
9.7 W,19.2 W,1
9.7 W,30.7 W,1
9.7 W,24.6 W,1
9.7 W,15.8 W,1
9.7 W,17.5 W,1
9.7 W,13.2 W,1
9.7 W,23.6 W,1
9.7 W,16.8 W,1
9.7 W,17.6 W,1
9.7 W,71.8 W,1
9.7 W,64 W,1
9.7 W,65.8 W,1
9.7 W,29 W,1
9.7 W,13 W,1
9.7 W,14.5 W,1
9.7 W,69.2 W,1
9.7 W,51.6 W,1
9.7 W,24 W,1
9.7 W,66.7 W,1
9.7 W,23 W,1
9.7 W,26.7 W,1
9.7 W,68 W,1
9.7 W,22 W,1
9.7 W,16.5 W,1
9.7 W,25.7 W,1
9.7 W,77.5 W,1
9.7 W,34 W,1
9.7 W,21.5 W,1
9.7 W,14 W,1
9.7 W,27.4 W,1
9.7 W,28 W,1
9.7 W,23.3 W,1
9.7 W,21.3 W,1
9.7 W,59.2 W,1
9.7 W,20.6 W,1
9.7 W,33 W,1
9.7 W,54.7 W,1
9.7 W,15.5 W,1
9.7 W,29.6 W,1
25.8 W,38 W,1
25.8 W,21.8 W,1
25.8 W,72 W,1
25.8 W,91 W,1
25.8 W,33.4 W,1
25.8 W,19 W,1
25.8 W,70 W,1
25.8 W,85 W,1
25.8 W,74 W,1
25.8 W,90 W,1
25.8 W,69 W,1
25.8 W,26.9 W,1
25.8 W,97 W,1
25.8 W,52.8 W,1
25.8 W,80 W,1
25.8 W,66.1 W,1
25.8 W,22 W,1
25.8 W,102.9 W,1
25.8 W,122 W,1
25.8 W,20.5 W,1
25.8 W,60 W,1
25.8 W,23.8 W,1
25.8 W,92 W,1
25.8 W,63.5 W,1
25.8 W,58 W,1
25.8 W,81.8 W,1
25.8 W,81.9 W,1
25.8 W,28.9 W,1
25.8 W,77 W,1
25.8 W,55.5 W,1
25.8 W,69.7 W,1
25.8 W,57 W,1
25.8 W,32 W,1
25.8 W,66.2 W,1
25.8 W,76 W,1
25.8 W,110.7 W,1
25.8 W,66.8 W,1
25.8 W,48 W,1
25.8 W,61.5 W,1
25.8 W,100 W,1
25.8 W,24.5 W,1
25.8 W,32.1 W,1
25.8 W,34.8 W,1
25.8 W,29.1 W,1
25.8 W,66 W,1
25.8 W,20.1 W,1
25.8 W,87 W,1
25.8 W,27.8 W,1
25.8 W,24.4 W,1
25.8 W,68.1 W,1
25.8 W,29.9 W,1
25.8 W,107 W,1
25.8 W,82 W,1
25.8 W,92.1 W,1
25.8 W,58.3 W,1
25.8 W,31.2 W,1
25.8 W,8.3 W,1
25.8 W,30 W,1
18.3 W,34.5 W,1
18.3 W,25.9 W,1
18.3 W,18.8 W,1
18.3 W,56 W,1
18.3 W,22.8 W,1
18.3 W,30.8 W,1
18.3 W,25.4 W,1
18.3 W,27.5 W,1
18.3 W,57.8 W,1
18.3 W,20 W,1
18.3 W,72 W,1
18.3 W,19.2 W,1
18.3 W,30.7 W,1
18.3 W,24.6 W,1
18.3 W,15.8 W,1
18.3 W,17.5 W,1
18.3 W,13.2 W,1
18.3 W,23.6 W,1
18.3 W,16.8 W,1
18.3 W,17.6 W,1
18.3 W,71.8 W,1
18.3 W,64 W,1
18.3 W,65.8 W,1
18.3 W,29 W,1
18.3 W,13 W,1
18.3 W,14.5 W,1
18.3 W,69.2 W,1
18.3 W,51.6 W,1
18.3 W,24 W,1
18.3 W,66.7 W,1
18.3 W,23 W,1
18.3 W,26.7 W,1
18.3 W,68 W,1
18.3 W,22 W,1
18.3 W,16.5 W,1
18.3 W,25.7 W,1
18.3 W,77.5 W,1
18.3 W,34 W,1
18.3 W,21.5 W,1
18.3 W,14 W,1
18.3 W,27.4 W,1
18.3 W,28 W,1
18.3 W,23.3 W,1
18.3 W,21.3 W,1
18.3 W,59.2 W,1
18.3 W,20.6 W,1
18.3 W,33 W,1
18.3 W,54.7 W,1
18.3 W,15.5 W,1
18.3 W,29.6 W,1
71.8 W,34.5 W,1
71.8 W,25.9 W,1
71.8 W,18.8 W,1
71.8 W,56 W,1
71.8 W,22.8 W,1
71.8 W,30.8 W,1
71.8 W,25.4 W,1
71.8 W,27.5 W,1
71.8 W,57.8 W,1
71.8 W,20 W,1
71.8 W,72 W,1
71.8 W,19.2 W,1
71.8 W,30.7 W,1
71.8 W,24.6 W,1
71.8 W,15.8 W,1
71.8 W,17.5 W,1
71.8 W,13.2 W,1
71.8 W,23.6 W,1
71.8 W,16.8 W,1
71.8 W,17.6 W,1
71.8 W,64 W,1
71.8 W,65.8 W,1
71.8 W,29 W,1
71.8 W,13 W,1
71.8 W,14.5 W,1
71.8 W,69.2 W,1
71.8 W,51.6 W,1
71.8 W,24 W,1
71.8 W,66.7 W,1
71.8 W,23 W,1
71.8 W,26.7 W,1
71.8 W,68 W,1
71.8 W,22 W,1
71.8 W,16.5 W,1
71.8 W,25.7 W,1
71.8 W,77.5 W,1
71.8 W,34 W,1
71.8 W,21.5 W,1
71.8 W,14 W,1
71.8 W,27.4 W,1
71.8 W,28 W,1
71.8 W,23.3 W,1
71.8 W,21.3 W,1
71.8 W,59.2 W,1
71.8 W,20.6 W,1
71.8 W,33 W,1
71.8 W,54.7 W,1
71.8 W,15.5 W,1
71.8 W,29.6 W,1
26.9 W,38 W,1
26.9 W,21.8 W,1
26.9 W,72 W,1
26.9 W,91 W,1
26.9 W,33.4 W,1
26.9 W,19 W,1
26.9 W,70 W,1
26.9 W,85 W,1
26.9 W,74 W,1
26.9 W,90 W,1
26.9 W,69 W,1
26.9 W,97 W,1
26.9 W,52.8 W,1
26.9 W,80 W,1
26.9 W,66.1 W,1
26.9 W,22 W,1
26.9 W,102.9 W,1
26.9 W,122 W,1
26.9 W,20.5 W,1
26.9 W,60 W,1
26.9 W,23.8 W,1
26.9 W,92 W,1
26.9 W,63.5 W,1
26.9 W,58 W,1
26.9 W,81.8 W,1
26.9 W,81.9 W,1
26.9 W,28.9 W,1
26.9 W,77 W,1
26.9 W,55.5 W,1
26.9 W,69.7 W,1
26.9 W,57 W,1
26.9 W,32 W,1
26.9 W,66.2 W,1
26.9 W,76 W,1
26.9 W,110.7 W,1
26.9 W,66.8 W,1
26.9 W,48 W,1
26.9 W,61.5 W,1
26.9 W,100 W,1
26.9 W,24.5 W,1
26.9 W,32.1 W,1
26.9 W,34.8 W,1
26.9 W,29.1 W,1
26.9 W,66 W,1
26.9 W,20.1 W,1
26.9 W,87 W,1
26.9 W,27.8 W,1
26.9 W,24.4 W,1
26.9 W,68.1 W,1
26.9 W,29.9 W,1
26.9 W,107 W,1
26.9 W,82 W,1
26.9 W,92.1 W,1
26.9 W,58.3 W,1
26.9 W,31.2 W,1
26.9 W,8.3 W,1
26.9 W,30 W,1
22.8 W,34.5 W,1
22.8 W,25.9 W,1
22.8 W,18.8 W,1
22.8 W,56 W,1
22.8 W,30.8 W,1
22.8 W,25.4 W,1
22.8 W,27.5 W,1
22.8 W,57.8 W,1
22.8 W,20 W,1
22.8 W,72 W,1
22.8 W,19.2 W,1
22.8 W,30.7 W,1
22.8 W,24.6 W,1
22.8 W,15.8 W,1
22.8 W,17.5 W,1
22.8 W,13.2 W,1
22.8 W,23.6 W,1
22.8 W,16.8 W,1
22.8 W,17.6 W,1
22.8 W,64 W,1
22.8 W,65.8 W,1
22.8 W,29 W,1
22.8 W,13 W,1
22.8 W,14.5 W,1
22.8 W,69.2 W,1
22.8 W,51.6 W,1
22.8 W,24 W,1
22.8 W,66.7 W,1
22.8 W,23 W,1
22.8 W,26.7 W,1
22.8 W,68 W,1
22.8 W,22 W,1
22.8 W,16.5 W,1
22.8 W,25.7 W,1
22.8 W,77.5 W,1
22.8 W,34 W,1
22.8 W,21.5 W,1
22.8 W,14 W,1
22.8 W,27.4 W,1
22.8 W,28 W,1
22.8 W,23.3 W,1
22.8 W,21.3 W,1
22.8 W,59.2 W,1
22.8 W,20.6 W,1
22.8 W,33 W,1
22.8 W,54.7 W,1
22.8 W,15.5 W,1
22.8 W,29.6 W,1
30 W,150 W,3
30 W,3.3 W,1
30 W,8.5 W,2
30 W,1.4 W,1
30 W,91 W,1
30 W,0.65 W,1
30 W,33.4 W,1
30 W,19 W,2
30 W,70 W,2
30 W,4 W,1
30 W,90 W,2
30 W,13.1 W,1
30 W,69 W,1
30 W,97 W,1
30 W,14.1 W,1
30 W,80 W,4
30 W,66.1 W,1
30 W,105 W,3
30 W,102.9 W,1
30 W,122 W,1
30 W,20.5 W,1
30 W,60 W,3
30 W,135 W,1
30 W,18 W,1
30 W,58 W,1
30 W,81.8 W,1
30 W,2.2 W,2
30 W,155 W,1
30 W,81.9 W,1
30 W,120 W,2
30 W,28.9 W,1
30 W,77 W,1
30 W,55.5 W,1
30 W,69.7 W,1
30 W,57 W,1
30 W,66.2 W,1
30 W,110.7 W,1
30 W,66.8 W,1
30 W,45 W,2
30 W,100 W,1
30 W,9 W,1
30 W,34.8 W,1
30 W,32.1 W,1
30 W,66 W,1
30 W,20.1 W,1
30 W,87 W,2
30 W,24.4 W,1
30 W,3 W,1
30 W,29.9 W,1
30 W,136 W,1
30 W,31.2 W,1
30 W,8.3 W,1
30 W,3.5 W,1
30 W,31 W,1
30 W,20 W,2
30 W,86 W,1
30 W,38 W,2
30 W,21.8 W,1
30 W,72 W,1
30 W,185 W,1
30 W,75 W,1
30 W,85 W,2
30 W,74 W,1
30 W,6.1 W,1
30 W,2.5 W,1
30 W,3.6 W,1
30 W,11.7 W,1
30 W,52.8 W,1
30 W,73 W,1
30 W,23 W,1
30 W,22 W,1
30 W,1.3 W,1
30 W,34 W,1
30 W,28 W,1
30 W,23.8 W,1
30 W,92 W,1
30 W,50 W,3
30 W,63.5 W,1
30 W,2.4 W,1
30 W,170 W,1
30 W,8 W,1
30 W,32 W,1
30 W,76 W,1
30 W,48 W,2
30 W,61.5 W,1
30 W,13 W,1
30 W,24.5 W,1
30 W,29.1 W,1
30 W,27.8 W,1
30 W,68.1 W,1
30 W,8.1 W,1
30 W,107 W,1
30 W,82 W,2
30 W,44 W,2
30 W,2 W,1
30 W,92.1 W,1
30 W,25 W,2
30 W,58.3 W,1
17.5 W,34.5 W,1
17.5 W,25.9 W,1
17.5 W,18.8 W,1
17.5 W,56 W,1
17.5 W,30.8 W,1
17.5 W,25.4 W,1
17.5 W,27.5 W,1
17.5 W,57.8 W,1
17.5 W,20 W,1
17.5 W,72 W,1
17.5 W,19.2 W,1
17.5 W,30.7 W,1
17.5 W,24.6 W,1
17.5 W,15.8 W,1
17.5 W,13.2 W,1
17.5 W,23.6 W,1
17.5 W,16.8 W,1
17.5 W,17.6 W,1
17.5 W,64 W,1
17.5 W,65.8 W,1
17.5 W,29 W,1
17.5 W,13 W,1
17.5 W,14.5 W,1
17.5 W,69.2 W,1
17.5 W,51.6 W,1
17.5 W,24 W,1
17.5 W,66.7 W,1
17.5 W,23 W,1
17.5 W,26.7 W,1
17.5 W,68 W,1
17.5 W,22 W,1
17.5 W,16.5 W,1
17.5 W,25.7 W,1
17.5 W,77.5 W,1
17.5 W,34 W,1
17.5 W,21.5 W,1
17.5 W,14 W,1
17.5 W,27.4 W,1
17.5 W,28 W,1
17.5 W,23.3 W,1
17.5 W,21.3 W,1
17.5 W,59.2 W,1
17.5 W,20.6 W,1
17.5 W,33 W,1
17.5 W,54.7 W,1
17.5 W,15.5 W,1
17.5 W,29.6 W,1
34.5 W,21.7 W,1
34.5 W,56 W,1
34.5 W,30.8 W,2
34.5 W,25.4 W,1
34.5 W,27.5 W,1
34.5 W,57.8 W,1
34.5 W,20 W,1
34.5 W,24.1 W,1
34.5 W,72 W,1
34.5 W,23.6 W,1
34.5 W,16.8 W,1
34.5 W,17.6 W,1
34.5 W,64 W,1
34.5 W,65.8 W,1
34.5 W,29 W,1
34.5 W,51.6 W,1
34.5 W,69.2 W,1
34.5 W,24 W,1
34.5 W,66.7 W,1
34.5 W,29.7 W,1
34.5 W,23 W,1
34.5 W,26.7 W,1
34.5 W,25.3 W,1
34.5 W,22 W,1
34.5 W,16.5 W,1
34.5 W,34 W,2
34.5 W,21.5 W,1
34.5 W,28 W,2
34.5 W,23.3 W,1
34.5 W,21.3 W,1
34.5 W,39.5 W,1
34.5 W,17.8 W,1
34.5 W,20.6 W,1
34.5 W,19.2 W,1
34.5 W,23.7 W,1
34.5 W,29.6 W,1
34.5 W,25.9 W,1
34.5 W,18.8 W,1
34.5 W,30.7 W,1
34.5 W,24.6 W,1
34.5 W,15.8 W,1
34.5 W,13.2 W,1
34.5 W,13 W,1
34.5 W,14.5 W,1
34.5 W,28.3 W,1
34.5 W,68 W,1
34.5 W,25.7 W,1
34.5 W,77.5 W,1
34.5 W,36.2 W,1
34.5 W,44 W,1
34.5 W,14 W,1
34.5 W,27.4 W,1
34.5 W,19.7 W,1
34.5 W,59.2 W,1
34.5 W,33 W,1
34.5 W,54.7 W,1
34.5 W,36 W,1
34.5 W,15.5 W,1
82 W,270 W,1
82 W,150 W,2
82 W,3.3 W,1
82 W,8.5 W,1
82 W,1.4 W,1
82 W,91 W,1
82 W,0.65 W,1
82 W,33.4 W,1
82 W,19 W,1
82 W,70 W,2
82 W,4 W,1
82 W,90 W,3
82 W,69 W,2
82 W,97 W,1
82 W,80 W,3
82 W,66.1 W,1
82 W,105 W,2
82 W,102.9 W,1
82 W,122 W,1
82 W,20.5 W,1
82 W,60 W,3
82 W,300 W,1
82 W,135 W,1
82 W,54 W,1
82 W,18 W,1
82 W,58 W,1
82 W,43 W,1
82 W,81.8 W,1
82 W,2.2 W,1
82 W,155 W,1
82 W,81.9 W,1
82 W,120 W,2
82 W,28.9 W,1
82 W,77 W,2
82 W,55.5 W,1
82 W,69.7 W,1
82 W,57 W,2
82 W,160 W,1
82 W,66.2 W,1
82 W,110.7 W,1
82 W,66.8 W,1
82 W,45 W,2
82 W,145 W,1
82 W,100 W,1
82 W,9 W,1
82 W,34.8 W,1
82 W,32.1 W,1
82 W,66 W,1
82 W,20.1 W,1
82 W,87 W,2
82 W,165 W,1
82 W,24.4 W,1
82 W,3 W,2
82 W,29.9 W,1
82 W,14 W,1
82 W,9.5 W,1
82 W,136 W,1
82 W,31.2 W,1
82 W,8.3 W,1
82 W,47 W,1
82 W,20 W,2
82 W,38 W,2
82 W,21.8 W,1
82 W,72 W,1
82 W,245 W,1
82 W,75 W,1
82 W,85 W,3
82 W,74 W,1
82 W,2.5 W,1
82 W,3.6 W,1
82 W,52.8 W,1
82 W,140 W,1
82 W,23 W,1
82 W,22 W,1
82 W,1.3 W,1
82 W,28 W,2
82 W,23.8 W,1
82 W,92 W,1
82 W,52 W,1
82 W,50 W,2
82 W,63.5 W,1
82 W,2.4 W,1
82 W,8 W,2
82 W,53 W,1
82 W,32 W,1
82 W,76 W,1
82 W,48 W,2
82 W,225 W,1
82 W,13 W,2
82 W,61.5 W,1
82 W,24.5 W,1
82 W,29.1 W,1
82 W,68.1 W,1
82 W,27.8 W,1
82 W,107 W,1
82 W,44 W,1
82 W,2 W,1
82 W,92.1 W,1
82 W,25 W,2
82 W,58.3 W,1
69.2 W,25.9 W,1
69.2 W,18.8 W,1
69.2 W,56 W,1
69.2 W,30.8 W,1
69.2 W,25.4 W,1
69.2 W,27.5 W,1
69.2 W,57.8 W,1
69.2 W,20 W,1
69.2 W,72 W,1
69.2 W,19.2 W,1
69.2 W,30.7 W,1
69.2 W,24.6 W,1
69.2 W,15.8 W,1
69.2 W,13.2 W,1
69.2 W,23.6 W,1
69.2 W,16.8 W,1
69.2 W,17.6 W,1
69.2 W,64 W,1
69.2 W,65.8 W,1
69.2 W,29 W,1
69.2 W,13 W,1
69.2 W,14.5 W,1
69.2 W,51.6 W,1
69.2 W,24 W,1
69.2 W,66.7 W,1
69.2 W,23 W,1
69.2 W,26.7 W,1
69.2 W,68 W,1
69.2 W,22 W,1
69.2 W,16.5 W,1
69.2 W,25.7 W,1
69.2 W,77.5 W,1
69.2 W,34 W,1
69.2 W,21.5 W,1
69.2 W,14 W,1
69.2 W,27.4 W,1
69.2 W,28 W,1
69.2 W,23.3 W,1
69.2 W,21.3 W,1
69.2 W,59.2 W,1
69.2 W,20.6 W,1
69.2 W,33 W,1
69.2 W,54.7 W,1
69.2 W,15.5 W,1
69.2 W,29.6 W,1
30.7 W,25.9 W,1
30.7 W,18.8 W,1
30.7 W,56 W,1
30.7 W,30.8 W,1
30.7 W,25.4 W,1
30.7 W,27.5 W,1
30.7 W,57.8 W,1
30.7 W,20 W,1
30.7 W,72 W,1
30.7 W,19.2 W,1
30.7 W,24.6 W,1
30.7 W,15.8 W,1
30.7 W,13.2 W,1
30.7 W,23.6 W,1
30.7 W,16.8 W,1
30.7 W,17.6 W,1
30.7 W,64 W,1
30.7 W,65.8 W,1
30.7 W,29 W,1
30.7 W,13 W,1
30.7 W,14.5 W,1
